title  Photometry data for T356120921 from search centered on 19 50 50.248 .48 04 51.09 using the apass calibration catalog
Median of Right Ascension  297.70578, rms   0.00271
Median of Declination       48.07639, rms   0.00197
Median of magcal_magdep        10.65, rms      0.26
Median of magcal_local_rms      0.16, rms      0.33
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2414755.850740	1899.274934	10.62	 0.12	12.81	297.70447	 48.07476	 51.4	0.518	ac00280	151	524288	1349412864	256	0.000700	19	11,13,14,17,18,19,21,22,28,30	8
2414767.853379	1899.307817	10.77	 0.15	11.81	297.70475	 48.07450	 29.8	0.447	ac00302	151	524288	1349412864	256	0.000700	19	11,13,14,17,18,19,21,22,28,30	8
2414773.815060	1899.324151	10.42	 0.14	12.89	297.70383	 48.07482	 40.2	0.445	ac00312	151	524288	1349410816	384	0.000700	19	13,14,17,18,19,21,22,28,30	7,8
2414781.822958	1899.346090	10.65	 0.11	12.71	297.70395	 48.07446	 24.9	0.521	ac00316	151	524288	1349412864	256	0.000700	19	11,13,14,17,18,19,21,22,28,30	8
2414801.712674	1899.400583	10.81	 0.16	11.74	297.70348	 48.07369	 30.2	0.556	ac00334	151	524416	1483630592	264	0.000700	7,19	11,13,14,17,18,19,21,22,27,28,30	3,8
2414801.804093	1899.400833	10.62	 0.19	13.93	297.70427	 48.07427	-85.9	0.430	i22963	152	557184	1080975360	656	0.000700	7,15,19	13,14,17,18,19,21,22,30	4,7,9
2414809.664113	1899.422367	10.47	 0.18	12.96	297.70381	 48.07433	 37.8	0.123	i22981	152	268992640	1080715264	529	0.000700	7,15,19,28	11,13,14,17,19,21,22,30	0,4,9
2414809.819941	1899.422794	11.02	 0.21	13.87	297.70373	 48.07444	-83.3	0.227	i22986	152	302547072	1080715264	513	0.000700	7,15,19,25,28	11,13,14,17,19,21,22,30	0,9
2414812.748486	1899.430818	10.70	 0.18	12.02	297.70588	 48.07480	 45.2	0.500	ac00344	151	524288	1349412864	256	0.000700	19	11,13,14,17,18,19,21,22,28,30	8
2414823.569566	1899.460465	10.73	 0.16	12.97	297.70379	 48.07429	 59.6	0.288	i23042	152	557184	1215193088	648	0.000700	7,15,19	13,14,17,18,19,21,22,27,30	3,7,9
2414823.623240	1899.460612	10.62	 1.05	12.66	297.70425	 48.07442	 41.4	0.428	i23043	152	268998784	1080713216	657	0.000700	7,11,12,15,19,28	13,14,17,19,21,22,30	0,4,7,9
2414825.744234	1899.466423	10.81	 0.22	15.04	297.70342	 48.07405	 88.7	0.327	i23061	151	557184	1349413888	592	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,28,30	4,6,9
2414827.637372	1899.471609	10.71	 0.16	11.58	297.70228	 48.07178	 39.4	0.398	ac00352	151	524416	1349410816	385	0.000700	7,19	13,14,17,18,19,21,22,28,30	0,7,8
2414832.644292	1899.485327	11.05	 0.70	13.03	297.70379	 48.07438	 18.0	0.493	i23080	152	285769856	1080713216	657	0.000700	7,15,19,24,28	13,14,17,19,21,22,30	0,4,7,9
2414832.721859	1899.485539	10.39	 0.19	13.04	297.70539	 48.07409	-78.2	0.225	i23081	152	559232	1080975362	641	0.000700	7,11,15,19	1,13,14,17,18,19,21,22,30	0,7,9
2414832.756487	1899.485634	10.60	 0.26	12.96	297.70336	 48.07475	-60.5	0.225	i23082	151	268992640	1080713216	641	0.000700	7,15,19,28	13,14,17,19,21,22,30	0,7,9
2414832.793194	1899.485735	 9.95	 0.67	13.22	297.70272	 48.07487	-44.3	0.462	i23083	151	557184	1080975363	641	0.000700	7,15,19	0,1,13,14,17,18,19,21,22,30	0,7,9
2414832.818819	1899.485805	10.43	 0.24	12.30	297.70369	 48.07435	-18.2	0.193	i23084	151	268992640	1080713216	657	0.000700	7,15,19,28	13,14,17,19,21,22,30	0,4,7,9
2414833.755169	1899.488370	10.85	 0.10	12.72	297.70483	 48.07435	 45.9	0.214	ac00354	151	524416	1349412866	257	0.000700	7,19	1,11,13,14,17,18,19,21,22,28,30	0,8
2414837.598913	1899.498901	10.89	 0.48	12.98	297.70381	 48.07440	 22.2	0.407	i23108	152	268992640	1080715264	529	0.000700	7,15,19,28	11,13,14,17,19,21,22,30	0,4,9
2414846.768459	1899.524023	10.58	 0.09	15.54	297.70119	 48.07387	-78.7	0.540	i23144	152	8945792	1349411840	721	0.000700	7,15,19,23	10,13,14,17,18,19,21,22,28,30	0,4,6,7,9
2414874.654590	1899.600424	10.77	 1.64	11.68	297.70148	 48.07496	 54.3	0.319	ac00382	151	268998784	1080713216	385	0.000700	7,11,12,15,19,28	13,14,17,19,21,22,30	0,7,8
2414881.642753	1899.619569	10.59	 0.11	12.27	297.70406	 48.07431	-69.6	0.627	ac00391	151	524288	1349410816	4480	0.000700	19	13,14,17,18,19,21,22,28,30	7,8,12
2414903.738310	1899.680105	10.51	 2.94	10.63	297.70346	 48.07681	-14.6	0.548	ac00418	130	269006976	1483366400	392	0.000700	7,11,12,13,15,19,28	13,14,17,19,21,22,27,28,30	3,7,8
2414910.547669	1899.698761	10.47	 0.09	14.22	297.70356	 48.07458	-71.5	0.209	i23461	151	557184	1076783104	513	0.000700	7,15,19	11,13,14,17,18,19,21,30	0,9
2414911.548381	1899.701502	11.19	 0.27	11.39	297.70448	 48.07406	-85.9	0.489	ac00425	130	532672	1349410818	385	0.000700	6,7,13,19	1,13,14,17,18,19,21,22,28,30	0,7,8
2414911.600321	1899.701645	10.72	 0.18	12.11	297.70639	 48.07496	-30.8	0.317	ac00426	151	524288	1349410816	384	0.000700	19	13,14,17,18,19,21,22,28,30	7,8
2414921.706096	1899.729332	10.36	 0.72	10.90	297.70381	 48.07378	 52.7	0.255	ac00456	151	268992640	1074421760	385	0.000700	7,15,19,28	13,14,17,19,30	0,7,8
2414938.641406	1899.775730	10.59	 2.22	10.62	297.70312	 48.07433	 43.0	0.237	ac00472	151	269006976	1074421760	385	0.000010	7,11,12,13,15,19,28	13,14,17,19,30	0,7,8
2414940.590967	1899.781071	10.75	 0.24	11.80	297.70324	 48.07494	 68.8	0.313	ac00474	151	524288	1349412864	256	0.000700	19	11,13,14,17,18,19,21,22,28,30	8
2414965.547394	1899.849445	10.85	 0.12	11.97	297.70535	 48.07497	 89.5	0.377	ac00502	130	524288	1349410816	384	0.000700	19	13,14,17,18,19,21,22,28,30	7,8
2414998.492725	1899.939706	10.74	 0.10	12.03	297.70182	 48.07428	 67.5	0.257	ac00577	151	524288	1349412864	256	0.000700	19	11,13,14,17,18,19,21,22,28,30	8
2415010.493772	1899.972586	 0.00	 0.00	10.20	  0.00000	  0.00000	  0.0	0.000	ac00616	128	0	0	2048	-1.000000			11
2415070.902667	1900.138089	11.30	 0.32	12.02	297.70507	 48.07866	-69.0	0.421	ac00727	151	113770496	1349410819	384	0.000700	19,22,23,25,26	0,1,13,14,17,18,19,21,22,28,30	7,8
2415089.918221	1900.190187	10.73	 0.13	14.17	297.70431	 48.07439	-76.7	0.146	i24755	151	557184	1080975360	656	0.000700	7,15,19	13,14,17,18,19,21,22,30	4,7,9
2415100.875622	1900.220207	10.81	 0.13	12.02	297.70405	 48.07407	 -6.9	0.369	ac00776	151	524288	1349410816	384	0.000700	19	13,14,17,18,19,21,22,28,30	7,8
2415113.865084	1900.255795	10.78	 0.12	15.28	297.70402	 48.07427	-86.6	0.393	i25022	152	557184	1080978434	577	0.000700	7,15,19	1,10,11,13,14,17,18,19,21,22,30	0,6,9
